"feature","enrich_group","ef_lda","pvalue","padj","short_feature"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae","Saliva",0.0215895617798305,1.05529611507606e-59,1.05529611507606e-59,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria","Saliva",0.021040144704413,1.05529611507606e-59,1.05529611507606e-59,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella","Saliva",0.019374599694049,1.42523282819561e-31,1.42523282819561e-31,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Actinobacteriota|c__Actinobacteria","Saliva",0.0185865995834302,5.67588912650821e-56,5.67588912650821e-56,"k__Bacteria|p__Actinobacteriota|c__Actin"
"k__Bacteria|p__Firmicutes","Saliva",0.0184455283881804,0.0120636315392232,0.0120636315392232,"k__Bacteria|p__Firmicutes"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum","Saliva",0.0176945448425895,7.87548010235973e-52,7.87548010235973e-52,"k__Bacteria|p__Fusobacteriota|c__Fusobac"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria|s__Neisseria_Neisseria_unclassified","Saliva",0.0172270787171157,4.8836520829704e-58,4.8836520829704e-58,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae","Saliva",0.0156423457663555,1.29896630300714e-16,1.29896630300714e-16,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__TM7x","Saliva",0.0154926888606684,2.200380722593e-50,2.200380722593e-50,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae","Saliva",0.0153543882539517,3.2259249227582e-58,3.2259249227582e-58,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas","Saliva",0.015262121763084,3.2259249227582e-58,3.2259249227582e-58,"k__Bacteria|p__Bacteroidota|c__Bacteroid"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__TM7x|s__TM7x_uncultured","Saliva",0.0150827280527921,2.200380722593e-50,2.200380722593e-50,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonadaceae_unclassified","Saliva",0.0130736555444316,3.87859949835962e-15,3.87859949835962e-15,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__Candidatus_Saccharimonas","Saliva",0.0130191047233493,5.37401683978543e-49,5.37401683978543e-49,"k__Bacteria|p__Patescibacteria|c__Saccha"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonadaceae_unclassified|s__Comamonadaceae_unclassified","Saliva",0.0130144819422152,3.87859949835962e-15,3.87859949835962e-15,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae","Saliva",0.0123279086686051,8.5074814026872e-53,8.5074814026872e-53,"k__Bacteria|p__Actinobacteriota|c__Actin"
"k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales","Saliva",0.0123232215675193,8.37303723392503e-53,8.37303723392503e-53,"k__Bacteria|p__Actinobacteriota|c__Actin"
"k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia","Saliva",0.0122567317640537,8.5074814026872e-53,8.5074814026872e-53,"k__Bacteria|p__Actinobacteriota|c__Actin"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae","Saliva",0.0113480547972113,9.01822574213573e-44,9.01822574213573e-44,"k__Bacteria|p__Proteobacteria|c__Gammapr"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales","Saliva",0.0113388017684217,9.01822574213573e-44,9.01822574213573e-44,"k__Bacteria|p__Proteobacteria|c__Gammapr"
